# Name : VHPS_140_140_3.5_T3
# Stage: 1
# Units: length:mm angle:deg 
id,x,y,z
173,47.6469,66.7410,-14.1956
174,53.3454,66.8714,-14.1354
175,58.9942,66.9960,-13.8489
176,64.6921,67.1325,-13.7205
177,70.3957,67.2656,-13.5810
178,76.0382,67.3422,-13.1858
179,81.7897,67.5009,-13.1603
180,87.4268,67.6190,-12.6902
181,93.1368,67.7318,-12.4567
182,98.8531,67.8430,-12.2168
183,104.5896,67.9622,-12.0178
184,110.3470,68.0938,-11.8604
185,116.0920,68.2243,-11.6313
186,121.8380,68.3127,-11.3787
187,127.6118,68.4361,-11.1888
188,133.4156,68.5737,-11.0667
189,139.1980,68.7156,-10.8453
190,144.9919,68.8285,-10.6337
191,150.7837,68.9496,-10.3872
192,156.5861,69.0822,-10.1458
193,162.4038,69.2103,-9.9246
194,168.2273,69.3201,-9.6939
195,174.0883,69.4503,-9.5473
196,179.9297,69.5811,-9.3144
197,185.7354,69.7031,-8.9509
198,191.8129,69.8342,-9.3458
199,197.5326,69.9665,-8.6819
200,203.4338,70.0793,-8.5126
201,209.3099,70.2244,-8.2446
202,215.2046,70.3592,-8.0031
203,221.1241,70.4591,-7.8040
204,227.0243,70.6034,-7.5251
205,232.9929,70.7442,-7.4039
206,238.9191,70.8466,-7.1440
207,244.8804,70.9882,-6.9493
208,250.8355,71.1145,-6.7131
209,256.8378,71.2546,-6.5715
210,262.8025,71.3774,-6.3083
211,268.8039,71.5123,-6.1122
212,274.7805,71.6536,-5.8286
213,280.8009,71.7825,-5.6288
214,286.8616,71.9058,-5.5018
215,292.8730,72.0438,-5.2289
216,298.9522,72.2204,-5.0924
217,304.9909,72.3096,-4.8368
218,311.0622,72.4602,-4.6312
219,317.1333,72.5931,-4.4013
220,323.1988,72.7163,-4.1341
221,329.2954,72.8682,-3.9136
222,335.4072,72.9795,-3.7041
223,341.4758,73.1147,-3.3733
224,347.6155,73.2569,-3.1773
225,353.7847,73.4001,-3.0218
226,359.9503,73.5464,-2.8333
227,366.0303,73.6631,-2.4370
228,372.3136,73.8140,-2.4530
229,378.4304,73.9249,-2.0904
230,384.6287,74.0973,-1.8759
231,390.8294,74.2028,-1.6451
232,397.0209,74.3834,-1.3698
233,403.3928,74.3618,-1.4469
234,409.6674,74.5590,-1.2925
235,415.5122,74.7390,-0.2516
236,421.4777,74.9737,0.5595
237,426.0629,74.8619,4.0988
238,-282.2552,55.2809,-29.9868
239,-277.0525,55.3458,-27.1905
240,-271.6605,55.4535,-29.3329
241,-266.3488,55.5869,-29.1882
242,-261.1077,55.6963,-27.4600
243,-255.7128,55.9439,-28.8200
244,-250.4116,56.0701,-28.1952
245,-245.1003,56.3233,-27.6958
246,-239.7698,56.1528,-27.5020
247,-234.3695,56.3813,-28.2594
248,-229.1172,56.3649,-26.7167
249,-223.7832,56.4980,-26.3490
250,-212.9658,56.8305,-27.3397
251,-202.3000,57.0092,-26.1148
252,-196.9887,57.1758,-25.2150
253,-191.6594,57.1520,-24.5164
254,-186.2716,57.2715,-24.3921
255,-180.8311,57.4356,-24.7297
256,-175.5258,57.4541,-23.6861
257,-170.1123,57.6520,-23.6417
258,-164.6928,57.7594,-23.5959
259,-159.3197,57.8526,-23.0877
260,-153.9048,57.9883,-22.8999
261,-148.4873,58.1057,-22.6870
262,-143.0655,58.1942,-22.4645
263,-137.6373,58.2780,-22.2477
264,-132.0493,58.3946,-23.1918
265,-126.7208,58.5525,-22.1211
266,-121.3358,58.6187,-21.4624
267,-115.8983,58.7251,-21.1489
268,-110.4798,58.8773,-20.6672
269,-105.0411,58.8611,-20.3006
270,-99.5415,58.9667,-20.2909
271,-94.1070,59.0468,-19.8211
272,-88.6172,59.1533,-19.6652
273,-83.0029,59.6269,-20.2065
274,-77.4601,59.7091,-20.2719
275,-72.0958,59.6014,-19.2597
276,-66.6143,59.6437,-18.9041
277,-61.1037,59.7635,-18.6758
278,-55.5895,59.8693,-18.4329
279,-50.0623,60.0126,-18.2239
280,-44.5579,60.1009,-17.8621
281,-38.9766,60.2300,-17.8652
282,-33.4428,60.3290,-17.5870
283,-27.8889,60.4580,-17.3753
284,-22.3184,60.5876,-17.2106
285,-16.7593,60.6957,-16.9569
286,-11.1896,60.8003,-16.7215
287,-5.6154,60.9026,-16.4750
288,0.0044,60.9893,-16.4044
289,5.5698,61.1293,-16.0516
290,11.1644,61.2638,-15.7995
291,16.7503,61.3868,-15.4795
292,22.3575,61.4786,-15.2230
293,28.0314,61.6238,-15.2145
294,33.6899,61.6913,-15.1072
295,39.3002,61.8333,-14.7670
296,44.9733,61.8652,-14.6555
297,50.6313,62.0509,-14.4448
298,56.2996,62.1530,-14.2467
299,61.9650,62.2678,-14.0064
300,67.6524,62.3893,-13.8192
301,73.3493,62.5057,-13.6372
302,79.0367,62.6080,-13.3902
303,84.7469,62.7558,-13.1957
304,90.4760,62.8766,-13.0393
305,96.1940,62.9944,-12.8132
306,101.9334,63.0904,-12.6334
307,107.6471,63.2033,-12.3352
308,113.4096,63.3373,-12.1750
309,119.1780,63.4653,-12.0045
310,124.9347,63.5684,-11.7668
311,130.7087,63.6858,-11.5569
312,136.4959,63.8168,-11.3611
313,142.2912,63.9259,-11.1631
314,148.1021,64.0577,-10.9851
315,153.9030,64.1836,-10.7474
316,159.7106,64.3335,-10.5023
317,165.5840,64.4345,-10.4316
318,171.4183,64.5491,-10.2125
319,177.2517,64.6728,-9.9631
320,183.0765,64.7694,-9.6631
321,188.8740,64.8741,-9.2584
322,194.8341,65.0346,-9.2950
323,200.7421,65.1692,-9.1522
324,206.6418,65.2918,-8.9586
325,212.5089,65.4113,-8.6475
326,218.4471,65.5401,-8.5066
327,224.3250,65.6595,-8.1746
328,230.2862,65.7915,-8.0415
329,236.2315,65.9150,-7.8388
330,242.1786,66.0302,-7.6148
331,248.1220,66.1530,-7.3554
332,254.1091,66.2894,-7.1827
333,260.0092,66.3842,-6.7634
334,266.0138,66.5082,-6.5849
335,272.0843,66.6731,-6.5435
336,278.0757,66.8085,-6.2789
337,284.0917,66.9399,-6.0500
338,290.1218,67.0431,-5.8313
339,296.2096,67.1892,-5.7244
340,302.1499,67.3158,-5.2413
341,308.2577,67.4459,-5.1319
342,314.3743,67.5758,-5.0164
343,320.4671,67.7040,-4.8195
344,326.5404,67.8299,-4.5530
345,332.6372,67.9757,-4.3160
346,338.7071,68.0860,-3.9955
347,344.8671,68.2239,-3.8523
348,351.0196,68.3649,-3.6671
349,357.1351,68.4817,-3.3773
350,363.3211,68.6273,-3.2166
