# Name : VHPS_140_140_3.5_T3
# Stage: 151
# Units: length:mm angle:deg 
id,x,y,z
2,425.3251,95.5139,-5.9624
3,427.6766,95.3641,1.3193
5,230.7080,84.5560,-9.6748
11,340.0989,88.3080,-6.6353
12,370.6014,88.7531,-4.7581
13,381.2791,89.0138,-0.4913
14,421.0350,90.2858,-4.1396
15,424.8401,90.2180,0.8915
16,93.2847,76.5728,-12.9372
19,128.7212,77.6775,-12.7305
20,134.6386,77.8451,-12.4210
21,140.4535,78.0265,-12.1607
22,145.7877,78.1754,-11.9613
23,152.7506,78.6484,-14.8913
24,158.8670,78.9515,-15.4590
25,164.3645,78.9853,-14.1075
26,170.2693,79.1204,-14.3899
27,176.1641,79.3659,-14.1399
28,182.1139,79.6033,-14.3498
29,187.7606,79.7466,-13.3694
30,193.5245,79.9399,-12.8393
31,199.3950,80.0422,-12.5394
32,205.1306,80.1273,-12.1647
33,211.0873,80.4044,-12.0913
34,216.9791,80.5806,-11.7437
35,222.5721,80.3237,-10.6278
36,228.1549,80.4216,-9.4440
37,234.1174,80.6212,-9.1491
38,240.4368,80.8818,-9.7295
39,245.7056,80.9128,-8.0869
40,251.5958,81.0867,-7.7326
41,257.6530,81.2687,-7.3661
42,263.2819,81.3601,-6.1828
43,269.1852,81.4675,-6.0412
44,275.5546,81.5958,-6.7150
45,281.3256,81.7455,-5.9363
46,287.8037,81.9159,-6.7967
47,293.7561,82.0777,-6.4075
48,299.7877,82.2741,-6.1311
49,305.9013,82.3484,-5.9409
50,312.0488,82.5120,-5.9348
51,317.8169,82.6508,-5.0966
52,323.8474,82.8134,-4.7156
53,329.8689,82.8773,-4.3420
54,336.0013,83.0457,-4.1663
55,342.1867,83.1771,-4.0909
56,348.2054,83.3044,-3.7098
57,353.8844,83.5254,-2.6315
58,360.4063,83.6412,-2.9619
59,366.2719,83.7010,-2.1338
60,372.5201,83.8858,-2.0964
61,378.6553,84.0393,-1.6837
62,384.9013,84.1653,-1.6732
63,391.0148,84.2394,-1.0746
64,397.1954,84.3903,-0.9568
65,402.6140,84.4615,0.6323
66,409.5634,84.8355,-0.6963
67,415.7033,84.9067,0.1550
68,421.6608,85.0534,0.9700
69,426.0412,84.8069,4.9457
70,-49.5376,68.9041,-17.5259
71,-43.2020,69.3114,-21.8143
75,41.0892,71.6641,-19.5121
76,46.7641,71.8328,-19.3764
77,52.2460,71.8862,-18.1686
78,57.7592,72.0793,-17.6811
79,63.4029,72.1762,-17.1631
80,68.9413,72.2345,-16.7682
81,74.7917,72.4113,-16.3728
82,80.4407,72.4344,-15.9366
83,85.6152,72.5181,-14.0927
84,91.0563,72.5852,-13.0876
85,96.6447,72.7434,-12.9094
86,102.8954,72.9425,-12.8983
87,108.3842,73.1200,-13.8110
88,114.3335,73.1844,-13.4858
89,120.1118,73.3078,-13.1571
90,125.9112,73.4565,-13.1236
91,131.6361,73.5858,-12.7876
92,137.4102,73.7623,-12.5733
93,143.0867,73.8477,-12.0126
94,148.9522,73.9540,-12.0174
95,154.8251,74.0945,-12.0064
96,160.5377,74.2073,-11.5654
97,166.3154,74.3341,-11.1941
98,172.2438,74.4980,-11.2660
99,178.0553,74.6451,-10.8616
100,183.8087,74.7301,-10.4161
101,189.6497,74.8781,-10.1510
102,195.4610,74.9986,-9.8957
103,201.2371,75.1304,-9.2183
104,207.2301,75.2662,-9.3389
105,213.0807,75.3541,-8.9572
106,218.9067,75.4946,-8.5694
107,224.8596,75.6183,-8.4457
108,230.7186,75.7533,-8.0340
109,236.5658,75.9220,-7.4579
110,242.6187,76.0220,-7.5637
111,248.5615,76.1391,-7.4561
112,254.5309,76.2828,-7.1923
113,260.5325,76.4722,-6.9638
114,266.4127,76.5475,-6.5821
115,272.4396,76.6610,-6.4087
116,278.4153,76.8059,-6.1768
117,284.4215,76.9554,-5.9459
118,290.4493,77.0690,-5.7039
119,296.4840,77.2200,-5.4580
120,302.4888,77.3712,-5.1833
121,308.4969,77.4637,-4.6308
122,314.6245,77.5921,-4.7422
123,320.6920,77.7395,-4.4802
124,326.7746,77.8725,-4.2177
125,332.8671,77.9989,-3.9734
126,338.9697,78.1338,-3.7553
127,345.0719,78.2855,-3.4816
128,351.1735,78.4093,-3.1738
129,357.3708,78.5325,-3.0467
130,363.4925,78.7038,-2.8105
131,369.6076,78.8119,-2.4343
132,375.8115,78.9791,-2.2645
133,381.9540,79.0845,-1.9128
134,388.1347,79.2498,-1.6865
135,394.3036,79.3601,-1.3418
136,400.5700,79.5109,-1.2310
137,407.1082,78.9510,-1.2166
138,413.2938,79.8518,-1.3262
139,419.0244,79.7961,-0.0075
140,424.1818,79.8906,2.3988
144,-171.3706,62.9193,-26.7614
145,-122.5580,63.3418,-24.7523
149,-101.0951,63.6980,-21.9131
150,-95.5936,63.9104,-22.2040
151,-73.3476,64.4804,-22.7973
152,-68.0002,64.5339,-21.4511
153,-62.5179,64.6930,-21.2339
154,-57.0114,64.8084,-21.0427
155,-51.5226,64.8914,-20.4769
